compound_formula,substructure,MP_id,paper_id,source_provenance,Tc_anchor_K,Tc_provenance_tier,Hc2_T_anchor,Hc2_anchor_type,Hc2_deviation_flag,Hc2_source,sample_form_commitment,predictor_method_scope,T_K,H_T,predicted_log_Jc,predicted_log_Jc_lower_95,predicted_log_Jc_upper_95,parent_match_uncertainty_envelope_dex,bootstrap_iterations,refusal_flag
Fe1S0.11Se0.89,iron_chalcogenide_11,mp-20311,,A1,10.7,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,8.238999999999999,5.0,5.583382590846566,5.4973066947378735,5.7224157624281915,,5000,
Fe1S0.12Te0.88,iron_chalcogenide_11,mp-21273,,A1,6.8,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,0.1,5.996159972950191,5.93108574852633,6.121613313756543,,5000,
Fe1S0.12Te0.88,iron_chalcogenide_11,mp-21273,,A1,6.8,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,1.0,5.98441565369311,5.918077522246061,6.109462561861685,,5000,
Fe1S0.12Te0.88,iron_chalcogenide_11,mp-21273,,A1,6.8,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,5.0,5.929148868030789,5.857003800182613,6.052414688608272,,5000,
Fe1S0.12Te0.88,iron_chalcogenide_11,mp-21273,,A1,6.8,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,0.1,,,,,5000,T_above_Tc
Fe1S0.12Te0.88,iron_chalcogenide_11,mp-21273,,A1,6.8,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,1.0,,,,,5000,T_above_Tc
Fe1S0.12Te0.88,iron_chalcogenide_11,mp-21273,,A1,6.8,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,5.0,,,,,5000,T_above_Tc
Fe1S0.12Te0.88,iron_chalcogenide_11,mp-21273,,A1,6.8,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,5.236,0.1,5.8895856008941845,5.805083919848228,6.014956671652142,,5000,
Fe1S0.12Te0.88,iron_chalcogenide_11,mp-21273,,A1,6.8,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,5.236,1.0,5.878236591163309,5.793285049081124,6.00316476192277,,5000,
Fe1S0.12Te0.88,iron_chalcogenide_11,mp-21273,,A1,6.8,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,5.236,5.0,5.825000234232363,5.7390172786625,5.948140568562722,,5000,
Fe1S0.1Se0.9,iron_chalcogenide_11,mp-20311,,A1,10.27,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,0.1,5.996159972950191,5.877146982269887,6.121613313756543,,5000,
Fe1S0.1Se0.9,iron_chalcogenide_11,mp-20311,,A1,10.27,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,1.0,5.96084211542598,5.843659858350076,6.086148671156769,,5000,
Fe1S0.1Se0.9,iron_chalcogenide_11,mp-20311,,A1,10.27,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,5.0,5.771923410007387,5.665413914623919,5.898304846472484,,5000,
Fe1S0.1Se0.9,iron_chalcogenide_11,mp-20311,,A1,10.27,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,0.1,,,,,5000,T_above_Tc
Fe1S0.1Se0.9,iron_chalcogenide_11,mp-20311,,A1,10.27,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,1.0,,,,,5000,T_above_Tc
Fe1S0.1Se0.9,iron_chalcogenide_11,mp-20311,,A1,10.27,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,5.0,,,,,5000,T_above_Tc
Fe1S0.1Se0.9,iron_chalcogenide_11,mp-20311,,A1,10.27,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.9079,0.1,5.803579512673048,5.70892155517542,5.940389257816719,,5000,
Fe1S0.1Se0.9,iron_chalcogenide_11,mp-20311,,A1,10.27,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.9079,1.0,5.768114870073274,5.675852804736461,5.907119723322759,,5000,
Fe1S0.1Se0.9,iron_chalcogenide_11,mp-20311,,A1,10.27,3DSC_MP,16.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.9079,5.0,5.588231228375836,5.495856380171686,5.723452998657056,,5000,
Fe1S0.1Te0.9,iron_chalcogenide_11,mp-21273,,A1,10.0,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,0.1,5.996159972950191,5.877146982269887,6.121613313756543,,5000,
Fe1S0.1Te0.9,iron_chalcogenide_11,mp-21273,,A1,10.0,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,1.0,5.984517703737607,5.866150883848946,6.109868994499462,,5000,
Fe1S0.1Te0.9,iron_chalcogenide_11,mp-21273,,A1,10.0,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,5.0,5.929148868030789,5.814524117503292,6.05472932559477,,5000,
Fe1S0.1Te0.9,iron_chalcogenide_11,mp-21273,,A1,10.0,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,0.1,,,,,5000,T_above_Tc
Fe1S0.1Te0.9,iron_chalcogenide_11,mp-21273,,A1,10.0,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,1.0,,,,,5000,T_above_Tc
Fe1S0.1Te0.9,iron_chalcogenide_11,mp-21273,,A1,10.0,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,5.0,,,,,5000,T_above_Tc
Fe1S0.1Te0.9,iron_chalcogenide_11,mp-21273,,A1,10.0,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.7,0.1,5.806967537993907,5.713621435637952,5.952076046257077,,5000,
Fe1S0.1Te0.9,iron_chalcogenide_11,mp-21273,,A1,10.0,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.7,1.0,5.795223218736826,5.702285295068371,5.9406404359205585,,5000,
Fe1S0.1Te0.9,iron_chalcogenide_11,mp-21273,,A1,10.0,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,7.7,5.0,5.742369535658458,5.651728586585333,5.885192058095304,,5000,
Fe1Se0.05Te0.95,iron_chalcogenide_11,mp-21273,,A1,3.35,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,0.1,,,,,5000,T_above_Tc
Fe1Se0.05Te0.95,iron_chalcogenide_11,mp-21273,,A1,3.35,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,1.0,,,,,5000,T_above_Tc
Fe1Se0.05Te0.95,iron_chalcogenide_11,mp-21273,,A1,3.35,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,4.2,5.0,,,,,5000,T_above_Tc
Fe1Se0.05Te0.95,iron_chalcogenide_11,mp-21273,,A1,3.35,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,0.1,,,,,5000,T_above_Tc
Fe1Se0.05Te0.95,iron_chalcogenide_11,mp-21273,,A1,3.35,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,1.0,,,,,5000,T_above_Tc
Fe1Se0.05Te0.95,iron_chalcogenide_11,mp-21273,,A1,3.35,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,20.0,5.0,,,,,5000,T_above_Tc
Fe1Se0.05Te0.95,iron_chalcogenide_11,mp-21273,,A1,3.35,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,2.5795000000000003,0.1,9.496827252954537,8.87122619544403,10.28930342638615,,5000,
Fe1Se0.05Te0.95,iron_chalcogenide_11,mp-21273,,A1,3.35,3DSC_MP,47.0,c_parent,±20-50%,S1_v3_2_2B_extension,single_crystal,sample_form_conditional_median:single_crystal,2.5795000000000003,1.0,9.485691710204012,8.859474915149217,10.278167883602672,,5000,
