paper,T,passing,clears_field_clause,hc2,top,span,hc2_over_top,deposited_ratio,recomputed_ratio,gate_floor,reproduced
elsevier_10.1016_j.physc.2016.05.023,3.0,False,False,30.0,1.5,1.3,20.0,0.0433333333333333,0.043333333333333335,0.33333333333333337,True
elsevier_10.1016_j.physc.2016.05.023,5.0,False,False,30.0,1.5,1.3,20.0,0.0433333333333333,0.043333333333333335,0.33333333333333337,True
elsevier_10.1016_j.physc.2016.05.023,6.0,False,False,30.0,1.5,1.3,20.0,0.0433333333333333,0.043333333333333335,0.33333333333333337,True
elsevier_10.1016_j.physc.2016.05.023,7.0,False,False,30.0,1.5,1.3,20.0,0.0433333333333333,0.043333333333333335,0.33333333333333337,True
elsevier_10.1016_j.physc.2016.05.023,2.0,False,False,30.0,1.5,1.3,20.0,0.0433333333333333,0.043333333333333335,0.33333333333333337,True
elsevier_10.1016_j.physc.2016.05.023,3.0,False,False,30.0,1.5,1.3,20.0,0.0433333333333333,0.043333333333333335,0.33333333333333337,True
elsevier_10.1016_j.physc.2016.05.023,5.0,False,False,30.0,1.5,1.3,20.0,0.0433333333333333,0.043333333333333335,0.33333333333333337,True
elsevier_10.1016_j.physc.2016.05.023,6.0,False,False,30.0,1.5,1.3,20.0,0.0433333333333333,0.043333333333333335,0.33333333333333337,True
elsevier_10.1016_j.physc.2016.05.023,7.0,False,False,30.0,1.5,1.3,20.0,0.0433333333333333,0.043333333333333335,0.33333333333333337,True
iop_10.1088_0953-2048_29_3_035013,10.0,False,False,47.0,9.01272734689596,8.9974300549537,5.214847647220471,0.1914346820202914,0.19143468202029149,0.4812141336124442,True
iop_10.1088_0953-2048_29_3_035013,12.0,False,False,47.0,9.041952458930412,9.027063094773279,5.197992382008135,0.1920651722292187,0.1920651722292187,0.48143868265202955,True
iop_10.1088_0953-2048_29_3_035013,15.0,False,False,47.0,9.038485072756831,9.039446616821774,5.199986460304516,0.1901067468899845,0.19232865142173988,0.4651065316101975,False
iop_10.1088_0953-2048_29_3_035013,17.0,False,False,47.0,6.995553587142116,6.983490579781934,6.718553351715635,0.1485849059528071,0.1485849059528071,0.4741768998042362,True
iop_10.1088_0953-2048_29_3_035013,4.2,False,False,47.0,9.013397513971526,8.997663156545201,5.214459911165133,0.1914396416286213,0.1914396416286213,0.49080656185919375,True
