compound_formula,substructure,Tc_anchor_K,Hc2_T_anchor,T_K,H_T,withheld_reduced_field,refusal_flag,withheld_log_Jc,withheld_log_Jc_lower_95,withheld_log_Jc_upper_95
Fe1Se0.82,iron_chalcogenide_11,7.83,16.0,6.029100000000001,1.0,0.0625,H_below_validated_reduced_field,5.815116748619893,5.725243653396889,5.952392546387775
Fe1Se0.82,iron_chalcogenide_11,7.83,16.0,6.029100000000001,5.0,0.3125,family_field_axis_unvalidated,5.635332550477397,5.543798160767244,5.767900471644446
Fe1Se0.85,iron_chalcogenide_11,9.62,16.0,4.2,0.1,0.00625,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Fe1Se0.85,iron_chalcogenide_11,9.62,16.0,4.2,1.0,0.0625,H_below_validated_reduced_field,5.960695330350417,5.843659858350076,6.085475382656883
Fe1Se0.85,iron_chalcogenide_11,9.62,16.0,4.2,5.0,0.3125,family_field_axis_unvalidated,5.7694682668345525,5.665413914623919,5.89737675081374
Fe1Se0.85,iron_chalcogenide_11,9.62,16.0,7.4074,0.1,0.00625,H_below_validated_reduced_field,5.812181286315359,5.725791075203895,5.947951440252919
Fe1Se0.85,iron_chalcogenide_11,9.62,16.0,7.4074,1.0,0.0625,H_below_validated_reduced_field,5.776760331565509,5.6904695480527945,5.91452408978981
Fe1Se0.85,iron_chalcogenide_11,9.62,16.0,7.4074,5.0,0.3125,family_field_axis_unvalidated,5.597259332172942,5.505460396633928,5.7331470989008695
Fe1Se0.88,iron_chalcogenide_11,8.843333333,16.0,4.2,0.1,0.00625,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Fe1Se0.88,iron_chalcogenide_11,8.843333333,16.0,4.2,1.0,0.0625,H_below_validated_reduced_field,5.960695330350417,5.844410032227914,6.086295456232333
Fe1Se0.88,iron_chalcogenide_11,8.843333333,16.0,4.2,5.0,0.3125,family_field_axis_unvalidated,5.7694682668345525,5.670157129263759,5.898304846472484
Fe1Se0.88,iron_chalcogenide_11,8.843333333,16.0,6.809366666410001,0.1,0.00625,H_below_validated_reduced_field,5.82484373065835,5.7470946250856585,5.965352195387381
Fe1Se0.88,iron_chalcogenide_11,8.843333333,16.0,6.809366666410001,1.0,0.0625,H_below_validated_reduced_field,5.790511035629335,5.712446214805055,5.930944704149717
Fe1Se0.88,iron_chalcogenide_11,8.843333333,16.0,6.809366666410001,5.0,0.3125,family_field_axis_unvalidated,5.611318223064492,5.524466979021105,5.747450302793371
Fe1Se0.92,iron_chalcogenide_11,7.4,16.0,4.2,0.1,0.00625,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Fe1Se0.92,iron_chalcogenide_11,7.4,16.0,4.2,1.0,0.0625,H_below_validated_reduced_field,5.96084211542598,5.843659858350076,6.085458118849194
Fe1Se0.92,iron_chalcogenide_11,7.4,16.0,4.2,5.0,0.3125,family_field_axis_unvalidated,5.771923410007387,5.667999027229005,5.89737675081374
