n_kept,beta,n_used,lever_dex,field_ratio,in_temperature_window,enough_points,has_lever,clears_field_clause,admitted,beta_nofloor,beta_old_rule,n_old_rule,paper,T,was_passing
4,0.306508460644906,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.306508460644906,0.306508460644906,4,elsevier_10.1016_j.mtphys.2022.100783,4.2,True
4,0.33818817622608055,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.33818817622608055,0.33818817622608055,4,elsevier_10.1016_j.mtphys.2022.100783,6.0,True
4,0.37754172256637464,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.37754172256637464,0.37754172256637464,4,elsevier_10.1016_j.mtphys.2022.100783,8.0,True
4,0.42793027366048675,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.42793027366048675,0.42793027366048675,4,elsevier_10.1016_j.mtphys.2022.100783,10.0,True
4,0.4951735148451809,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.4951735148451809,0.4951735148451809,4,elsevier_10.1016_j.mtphys.2022.100783,12.0,True
4,0.5905290818595167,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.5905290818595167,0.5905290818595167,4,elsevier_10.1016_j.mtphys.2022.100783,14.0,True
4,0.7400032499979288,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.7400032499979288,0.7400032499979288,4,elsevier_10.1016_j.mtphys.2022.100783,16.0,True
5,2.0318848838505623,5,0.8129133566428555,0.7857142857142857,False,True,True,True,False,2.0318848838505623,2.0318848838505623,5,elsevier_10.1016_j.mtphys.2022.100783,21.0,True
4,0.2584991129740444,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.2584991129740444,0.2584991129740444,4,elsevier_10.1016_j.mtphys.2022.100783,4.2,True
4,0.306508460644906,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.306508460644906,0.306508460644906,4,elsevier_10.1016_j.mtphys.2022.100783,6.0,True
4,0.37754172256637464,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.37754172256637464,0.37754172256637464,4,elsevier_10.1016_j.mtphys.2022.100783,8.0,True
4,0.42793027366048675,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.42793027366048675,0.42793027366048675,4,elsevier_10.1016_j.mtphys.2022.100783,10.0,True
4,0.4951735148451809,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.4951735148451809,0.4951735148451809,4,elsevier_10.1016_j.mtphys.2022.100783,12.0,True
4,0.5905290818595167,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.5905290818595167,0.5905290818595167,4,elsevier_10.1016_j.mtphys.2022.100783,14.0,True
