paper_key,sample,fixed_T,Hc2_T_used,Hc2_source,anchor_T,matched,source_figure_class,figure_supports,claims,anchor_row_at_fit_temperature,over_claimed,note
elsevier_10.1016_j.physc.2010.05.048,FeTe0.59Se0.41,7.0,6.5,Tier_1_direct_match_at_7.0K_term_ambiguous_label,7.0,True,M_vs_H,H_irr,ambiguous,True,True,Fig. 2. Magnetic field dependence of magnetization in FeTe0.59Se0.41 at several temperatures.
elsevier_10.1016_j.physc.2010.05.048,FeTe0.59Se0.41,8.0,8.5,Tier_1_direct_match_at_8.0K_term_ambiguous_label,8.0,True,M_vs_H,H_irr,ambiguous,True,True,Fig. 2. Magnetic field dependence of magnetization in FeTe0.59Se0.41 at several temperatures.
elsevier_10.1016_j.physc.2010.05.048,FeTe0.59Se0.41,9.0,12.5,Tier_1_direct_match_at_9.0K_term_ambiguous_label,9.0,True,M_vs_H,H_irr,ambiguous,True,True,Fig. 2. Magnetic field dependence of magnetization in FeTe0.59Se0.41 at several temperatures.
1002.0208v2.pdf,PrFeAsO0.6F0.12_10K,10.0,21.4443,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,,False,,,,False,False,
1002.0208v2.pdf,PrFeAsO0.6F0.12_15K,15.0,16.8715,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,,False,,,,False,False,
1002.0208v2.pdf,PrFeAsO0.6F0.12_20K,20.0,12.76,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,,False,,,,False,False,
1002.0208v2.pdf,PrFeAsO0.6F0.12_25K,25.0,9.1331,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,,False,,,,False,False,
1002.0208v2.pdf,PrFeAsO0.6F0.12_30K,30.0,6.0207,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,,False,,,,False,False,
1002.0208v2.pdf,PrFeAsO0.6F0.12_7K,7.0,24.4013,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,,False,,,,False,False,
elsevier_10.1016_j.physc.2013.04.060,MgB(2-x)Cx_x_0_0386_4_2K,4.2,10.5,Tier_1_direct_match_at_4.2K_term_H_irr_Birr,4.2,True,literature_comparison,none,H_irr,True,True,Fig. 1. J_c vs. B data for MgB2 from the literature showing the crossover effect.
elsevier_10.1016_j.physc.2013.04.060,MgB(2-x)Cx_x_0_1202_4_2K,4.2,10.5,Tier_1_direct_match_at_4.2K_term_H_irr_Birr,4.2,True,literature_comparison,none,H_irr,True,True,Fig. 1. J_c vs. B data for MgB2 from the literature showing the crossover effect.
elsevier_10.1016_j.physc.2013.04.060,MgB2_4_2K,4.2,10.5,Tier_1_direct_match_at_4.2K_term_H_irr_Birr,4.2,True,literature_comparison,none,H_irr,True,True,Fig. 1. J_c vs. B data for MgB2 from the literature showing the crossover effect.
elsevier_10.1016_j.physc.2013.04.060,Undoped_MgB2_10K,10.0,11.9,Tier_1_direct_match_at_10.0K_term_Birr,10.0,True,unnamed,none,H_irr,True,True,nan
elsevier_10.1016_j.physc.2013.04.060,Ag_Doped_MgB2_10K,10.0,11.9,Tier_1_direct_match_at_10.0K_term_Birr,10.0,True,unnamed,none,H_irr,True,True,nan
elsevier_10.1016_j.physc.2013.04.060,SiC_Doped_MgB2_10K,10.0,11.9,Tier_1_direct_match_at_10.0K_term_Birr,10.0,True,unnamed,none,H_irr,True,True,nan
elsevier_10.1016_j.physc.2013.04.060,TiC_Doped_MgB2_10K,10.0,11.9,Tier_1_direct_match_at_10.0K_term_Birr,10.0,True,unnamed,none,H_irr,True,True,nan
elsevier_10.1016_j.physc.2013.04.060,ZrB2_Doped_MgB2_10K,10.0,11.9,Tier_1_direct_match_at_10.0K_term_Birr,10.0,True,unnamed,none,H_irr,True,True,nan
