T_bin,H_bin,n,log_Jc_mean,log_Jc_std,log_Jc_norm_mean,log_Jc_norm_std,n_compounds
"(0.7, 0.8]","(0.0, 0.1]",348,4.830450432665504,1.033933019430277,0.7239286370731057,0.15215812816418745,12
"(0.7, 0.8]","(0.1, 0.2]",68,4.4313467989155315,1.3582397022417037,0.6559075121670508,0.2017276912933212,8
"(0.7, 0.8]","(0.2, 0.3]",39,4.54262553488436,1.030976309021087,0.6805816301661707,0.16126793681861715,7
"(0.7, 0.8]","(0.3, 0.4]",35,4.073535779387925,0.9357448066511962,0.6088134033250818,0.15630049515709343,7
"(0.7, 0.8]","(0.4, 0.5]",23,3.495540533155236,0.9925181891345871,0.54608413341567,0.19730469230536593,5
"(0.7, 0.8]","(0.5, 0.6]",8,2.817321716725857,1.5907143121962837,0.5177335101144215,0.32371292336006324,5
"(0.7, 0.8]","(0.6, 0.7]",7,3.8018867645862513,1.1795161221920925,0.7177187807940066,0.21985062858367105,4
"(0.8, 0.9]","(0.0, 0.1]",321,4.461185252344434,1.2353728655782812,0.6886224869374546,0.19197245487562084,13
"(0.8, 0.9]","(0.1, 0.2]",51,4.313936734885805,0.7166374282336427,0.735696943380845,0.16698121086392145,11
"(0.8, 0.9]","(0.2, 0.3]",36,3.900686051310031,0.9842530985806197,0.6970711784907135,0.2044711660766131,11
"(0.8, 0.9]","(0.3, 0.4]",29,3.674337215305914,1.020230439489924,0.6438598535916549,0.2386810998603854,9
"(0.8, 0.9]","(0.4, 0.5]",23,3.1394084408898917,1.1651739104875993,0.5615813221376352,0.2721132854045842,7
"(0.8, 0.9]","(0.5, 0.6]",11,2.822156701102433,1.615094739800903,0.5349572632797316,0.324852864316945,7
"(0.8, 0.9]","(0.6, 0.7]",9,3.7078980718347885,1.2410080883331762,0.6820516939516453,0.24307448089315706,5
