cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,Hc2_T_default,Hc2_source,n_pts,n_distinct,H_axis_range_normalized,fixed_axis,fixed_axis_value,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality,paper_key,Tc_repaired,Hc2_repaired,withdrawn,repair,reproduced,range_repaired,beta_repaired,n_pts_repaired,lever_H,clears_field_clause,passing_repaired
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_10K,39.0,5.0,15.5,Tier_1_direct_match_at_10.0K_term_H_irr_Birr,58,57,0.9375000000000002,T,10.0,1.7913601054743344,0.0842458389216258,5.48501191031671,0.0368156996939851,0.1952565445271811,True,ok,elsevier_10.1016_j.jallcom.2023.170146,39.0,5.0,,,True,0.9375000000000002,1.791360101596538,58,1.2430380486862957,True,True
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_15K,39.0,4.0,15.5,Tier_1_direct_match_at_15.0K_term_H_irr_Birr,51,51,0.9209280303030304,T,15.0,1.7765614999947452,0.0729695232078468,5.503791135239047,0.0290536201991617,0.1481867431373292,True,ok,elsevier_10.1016_j.jallcom.2023.170146,39.0,4.0,,,True,0.9209280303030303,1.7765614999269157,51,1.1532443454470604,True,True
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_20K,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,21,21,0.9217171717171716,T,20.0,1.4734698228805705,0.1016588122548142,5.443860417495315,0.0429735868097675,0.1377262406335595,True,ok,elsevier_10.1016_j.jallcom.2023.170146,39.0,3.0,,,True,0.9217171717171717,1.473469829368698,21,1.177203409425049,True,True
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_25K,39.0,2.5,15.5,Tier_1_linear_interp_20.0K_to_30.0K,17,17,0.8863636363636364,T,25.0,1.9289744645699531,0.1108747441111336,5.338596491448894,0.0414309506443505,0.1175907995898172,True,ok,elsevier_10.1016_j.jallcom.2023.170146,39.0,2.5,,,True,0.8863636363636364,1.9289744681601912,17,0.9711432599775262,True,True
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_30K,39.0,2.0,15.5,Tier_1_direct_match_at_30.0K_term_H_irr_Birr,13,13,0.7907196969696971,T,30.0,3.185977073396232,0.0892326811104013,5.1863788403346,0.0272855225219261,0.0621990682272343,True,ok,elsevier_10.1016_j.jallcom.2023.170146,39.0,2.0,,,True,0.7907196969696971,3.185977072062878,13,0.7121636979887257,True,True
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_35K,39.0,1.5,15.5,Tier_1_direct_match_at_35.0K_term_H_irr_Birr,17,17,0.9280303030302972,T,35.0,1.2332200169685257,0.7408706510074851,3.758231361108494,0.3577398865199749,0.9781424086856998,True,ok,elsevier_10.1016_j.jallcom.2023.170146,39.0,1.5,,,True,0.9280303030302971,1.233220003161772,17,1.2211088951240865,True,True
B,elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO,single_crystal,LaFeAsO_2K,26.0,9.2,86.0,Tier_1_direct_match_at_2.0K_term_both_Hc2_and_H_irr,13,13,0.6512817462677691,T,2.0,3.1626650680656425,0.1892680333245923,6.324598106936781,0.0451692379688394,0.088242835242476,True,ok,elsevier_10.1016_j.jallcom.2023.170384,13.3,9.2,,,True,0.6512817462677691,3.1626650935592844,13,0.4582502129742951,True,True
B,elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO,single_crystal,LaFeAsO_5K,26.0,8.0,86.0,Tier_1_direct_match_at_5.0K_term_both_Hc2_and_H_irr,7,7,0.3744870041039671,T,5.0,10.692565346999295,1.3416066726189408,6.222245789063345,0.156849789968264,0.2034388773623215,True,ok,elsevier_10.1016_j.jallcom.2023.170384,13.3,8.0,,,True,0.3744870041039671,10.692565358594251,7,0.20376366280940597,True,True
B,elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO,single_crystal,LaFeAsO_8K,26.0,5.75,86.0,Tier_1_linear_interp_7.0K_to_9.0K,4,4,0.2597989650865402,T,8.0,19.177838830723264,0.8212478222945723,5.946760813833423,0.0656233047388392,0.0565955619363309,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2023.170384,13.3,5.75,,,True,0.25979896508654027,19.177838856353148,4,0.13065031203084132,False,False
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co0,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.005,T,5.0,29.99999997124596,131.9744336375446,6.138417126459371,0.2237556556959613,0.1964585828169923,True,H_axis_applicability_bound,elsevier_10.1016_j.jpcs.2026.113652,110.0,100.0,,,False,,,0,0.0,False,False
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co0,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.025,T,20.0,29.99999900817464,15.942133148778616,6.257064583606886,0.1690174203646679,0.1209705291145626,True,H_axis_applicability_bound,elsevier_10.1016_j.jpcs.2026.113652,110.0,100.0,,,False,,,0,0.0,False,False
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co0,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.025,T,50.0,29.999997562355304,6.323254101544617,6.674775503394321,0.1502595179139861,0.0495008527254604,True,H_axis_applicability_bound,elsevier_10.1016_j.jpcs.2026.113652,110.0,100.0,,,False,,,0,0.0,False,False
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co1,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.005,T,5.0,29.999998288737597,69.76538118875513,6.321397414672149,0.1182834999854689,0.1038535545619128,True,H_axis_applicability_bound,elsevier_10.1016_j.jpcs.2026.113652,110.0,100.0,,,False,,,0,0.0,False,False
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co2,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.005,T,5.0,29.9999998885131,109.24805824308646,6.361741803281722,0.18522426319662,0.1626278735161473,True,H_axis_applicability_bound,elsevier_10.1016_j.jpcs.2026.113652,110.0,100.0,,,False,,,0,0.0,False,False
